name,price_low,price_high,rating_num,rating,description
"Ozark Trail 30-Can Zipperless Cooler with Smartshelf, Orange",$39.95 ,$39.95 ,11,4.3,"Patented, easy access Zipperless lid
High performance insulation with radiant heat barrier
FDA compliant hard liner with removable shelf"
Coleman 55 QT Rugged A/T Wheeled-Cooler,$51.45 ,$51.45 ,77,3.8,"8"" oversized, off-road wheels help you conquer any terrain
75 percent more ground clearance
Rugged EZ-Lift swing handles for easy carrying in tough conditions"
"Coleman 40-Quart Xtreme 4-Day Marine Cooler with Wheels, White",$49.49 ,$49.49 ,50,3.8,"Holds 60 cans
New, stylish outer casing
Long, telescoping handle and all-terrain wheeled cooler"
Arctic Zone 9-Can Zipperless Cooler,$9.94 ,$9.94 ,51,4.2,"Unique ?flip-open?, patented Zipperless? lid that allows quick access to food and drinks.
Durable HardBody?? liner with SmartShelf? keep hard items like drinks separate from food"
Igloo Playmate The Boss Cooler,$25.20 ,$25.20 ,55,4.2,"Top push button for easy 1-hand opening
Trademarked tent shaped lid
Lid swings open to either side"
Coleman 150 qt Heritage XP Marine Cooler,$94.18 ,$94.18 ,18,4.5,"Large enough to hold 223 cans
UVGuard material offers protection from the sun's damaging rays
The lid strap is made of stainless-steel cable for strength and durability"
Coleman 16-Quart Portable Excursion Cooler for Picnics & BBQs,$15.31 ,$15.31 ,10,3.9,"COOLER 16QT Blue - Keeps the Ice! up to 1 day at temperatures up to 90 F Holds 22 cans Durable, integrated lid hinges handle the stress of repeated opening and closing Large-grip bail handle allows"
Igloo Outdoorsman Collapsible 50-Can Cooler,$23.00 ,$41.11 ,11,4.1,"MaxCold insulation with 25% more foam to keep food and drinks cooler longer
Comfort top handles and removable, adjustable strap provide hands-free carrying option
Collapsible"
Coleman 24-Hour 16-Can Cooler,$21.64 ,$21.64 ,20,4.3,"24-hour ice retention at temperatures up to 90 degrees Fahrenheit
Holds 16 Cans
Antimicrobial liner resists odor, mold, mildew and fungus on the product"
Coleman 48-Can Party Stacker Cooler,$25.09 ,$39.47 ,32,4.8,"Base interlocks with other Party Stacker coolers
Holds 2 cases of soda
Wide enough for a 9"" x 13"" dish"
Igloo Ice Cube 14-Can Personal Cooler,$25.19 ,$25.19 ,13,4.6,"14 can capacity
Ergonomically curved back for comfort and ease of transport
Sturdy swing-up bail handle"
Igloo White 42 Can Marine Quantum Cooler with Wheels,$36.22 ,$36.22 ,15,4.3,"Holds 42 cans
Has ultrviolet inhibitors to protect against sun damage
Molded-in side handles"
Igloo Super Tough 120-Qt Cooler,$196.39 ,$196.39 ,10,4.4,"Stainless steel hinge pins
Threaded drain plug with stainless steel tether
Bolt-through handles"
Igloo 150-Quart Super-Tough STX Cooler,$237.48 ,$237.48 ,22,3.9,"Stainless steel latch, hinges and screws
Bolt-through comfort grip handles
Cool Riser technology"
"Coleman 42-Can Soft Cooler with Removable Liner & Wheels, Gray",$39.92 ,$39.92 ,61,4.4,"Holds 42 cans
Removable hard plastic liner for carrying flexibility
Adjustable shoulder strap"
Coleman 60-Quart Wheeled Cooler,$41.38 ,$54.99 ,22,3.2,"Features: -Performance collection. -New, stylish outer casing. -Four molded cup holders keep drinks close. -Long, telescoping handle and all-terrain wheeled cooler handles loads with ease. -Side"
"Coleman 9-Can Soft Cooler with Removable Liner, Blue",$11.63 ,$19.97 ,105,4.5,"Holds 9 cans
Removable hard plastic liner for carrying flexibility
Adjustable shoulder strap"
Coleman 28 qt Performance Wheeled Cooler,$42.36 ,$42.36 ,46,4.3,"Up to 3 days at temperatures up to 90 degrees
Holds 40 cans
Recessed wheels"
"Coleman 48-Quart Cooler with 5-Quart Cooler, 1/3-Gallon Jug",$46.38 ,$46.38 ,93,4.4,"Cooler combo set includes 48-qt cooler, 5-qt cooler, 1/3-gallon jug
48-qt cooler holds 63 cans plus ice and is tall enough for 2L bottles
5-qt cooler holds up to 6 cans"
Coleman 100 qt Marine White Cooler,$89.99 ,$89.99 ,85,4.5,Easy to use
"Igloo MaxCold Cooler, 100 qt",$73.99 ,$73.99 ,1,3,"Igloo MaxCold Cooler
Capacity: 100 qt
Exterior dimensions: 35.25""L x 17.38""W x 16.75""H"
Coleman 40-Quart Wheeled Cooler,$28.75 ,$55.18 ,24,4.5,"Hard-sided
Holds up to 59 cans plus ice for generous beverage storage"
"Coleman 16-Can Soft Cooler with Removable Liner, Red",$15.62 ,$22.22 ,106,4.4,"Holds 16 cans
Removable hard plastic liner for carrying flexibility
Adjustable shoulder strap"
Igloo Maxcold 40 Roller Cooler,$48.33 ,$48.33 ,7,3.6,"Ultratherm insulation in body and lid keeps ice frozen up to 5 days
Durable wheels for easy-rolling transport, both pushing and pulling
Reinforced swing-up handles"
